Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2024-25,2024-08-27,d72bac90-506d-4174-b258-4e0fe474fe63,Pipedrive OU,128.79,,Software,75,Section 8-1 ITAA 1997 - general deduction,128.79,Yes,No,60,The transaction description 'from Pipedrive OU' does not contain any evidence of R&D activities as defined in Division 355 of ITAA 1997. There is no i,No,No,Yes,Maintain invoice as evidence of expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for that p
FY2024-25,2024-08-27,556b94e6-d1a6-4b86-acb6-bc3f4c75a6cf,COMMOUNTAIN VIE USA,299.99,,Software,70,Section 8-1 ITAA 1997 - general deduction,299.99,Yes,No,50,The transaction description 'from COMMOUNTAIN VIE USA' does not provide sufficient evidence to suggest that the expense relates to core or supporting ,No,No,Yes,
FY2024-25,2024-07-01,cbf2e258-1ca6-4d1e-b99e-76b9753b2ee5,,3000,Bank Transfer to Westpac AU 034130305246.,Unknown,50,Unknown,0,No,No,20,The transaction description 'Bank Transfer to Westpac AU 034130305246' provides no information to suggest that it relates to R&D activities. There is ,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2024-25,2024-07-10,736ba5af-78b6-4656-b9b9-d6bc47beb53d,Mailchimp,29.87,,Marketing,90,Section 8-1 ITAA 1997 - general deduction,29.87,Yes,No,95,The transaction relates to a Mailchimp subscription. There is no indication of R&D activity based on the provided information. Mailchimp is a marketin,No,No,Yes,Deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income. Substantiation is required to support the deduction.
FY2024-25,2024-07-12,fb90781b-3564-4207-ab07-7d338f60ef73,ATO,425,,Tax,95,Section 8-1 ITAA 1997,425,Yes,No,90,"The transaction description 'from ATO' does not provide any evidence of R&D activities. There is no indication of technical uncertainty, systematic in",No,No,Yes,
FY2024-25,2024-07-19,56606bae-6721-447c-bd7c-dece5f31d11a,Xero,95,,Software,95,Section 8-1 ITAA 1997 - general deduction,95,Yes,No,60,The transaction description 'from Xero' and the line item description '' do not provide any evidence of R&D activities. There is no indication of tech,No,No,Yes,
FY2024-25,2024-07-22,1042397a-f533-4115-a919-0a9ab321e53c,Zoom,24.63,,Software,95,Section 8-1 ITAA 1997 - general deduction,24.63,Yes,No,90,"The transaction description 'from Zoom' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowledge,",No,No,Yes,s 8-1 ITAA 1997 - general deduction: The expense 'from Zoom' is deductible to the extent that it was incurred in gaining or producing assessable income or was necessarily incurred in carrying on a bus
FY2024-25,2024-07-29,51a827fb-c0ec-4066-af1a-dc66ce8966e7,LEARNINGSTUDIOAI.COM,61.49,,Software,75,Section 8-1 ITAA 1997 - general deduction,61.49,Yes,No,60,The transaction description 'from LEARNINGSTUDIOAI.COM' does not provide sufficient evidence to suggest that the expense relates to core or supporting,No,No,Yes,Must relate to current income-earning activity
FY2024-25,2024-08-19,17902079-63fd-400d-95a4-3dac10194b11,Xero,95,,Software,90,Section 8-1 ITAA 1997 - general deduction,95,Yes,No,95,The transaction description 'from Xero' and the line item description '' do not provide any evidence of R&D activities as defined in Division 355 of t,No,No,Yes,
FY2024-25,2024-08-23,42ffcf4d-6d9a-4714-ba22-6c37e60e0b7f,ChatGPT,33.66,,Software,75,Section 8-1 ITAA 1997 - general deduction,33.66,Yes,No,60,"The transaction description 'from ChatGPT' lacks specific evidence of technical uncertainty, systematic investigation, generation of new knowledge, or",No,No,Yes,
FY2024-25,2024-08-29,eec47222-8e24-4514-b353-c7549addf631,Ispwich Chamber of Commerce,400,,Professional Services,85,Section 8-1 ITAA 1997 - general deduction,400,Yes,No,95,Membership fees paid to a Chamber of Commerce do not constitute R&D activities as defined under Division 355 of the ITAA 1997. There is no indication ,No,No,Yes,Deductible under s 8-1 ITAA 1997 if the expense was necessarily incurred in carrying on a business for the purpose of gaining or producing assessable income. The description 'from Ispwich Chamber of C
FY2024-25,2024-09-02,2e33aa31-ae7d-41e5-a295-f2e6d959b853,Westpac,10,,Financial Services,90,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,100,"The transaction description 'from Westpac' does not contain any information suggesting R&D activities. Therefore, it does not meet the criteria for Di",No,No,Yes,
FY2024-25,2024-08-30,379d516b-670c-4703-ad8d-0c70d593518e,Westpac,0.01,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,0.01,Yes,No,90,The transaction description 'from Westpac' and the line item description '' do not contain any information suggesting R&D activities. There is no indi,No,No,Yes,
FY2024-25,2024-07-08,4ca60ded-0d36-44a8-89dd-1bee61ae3e24,My AI Drive,228.72,,Software,70,Section 8-1 ITAA 1997 - general deduction,228.72,Yes,No,60,The transaction description 'from My AI Drive' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D acti,No,No,Yes,
FY2024-25,2024-08-26,7514312b-e366-4376-9f7b-76e78cd0c813,Cursor,30.75,,Software,70,Section 8-1,30.75,Yes,No,50,The transaction description 'from Cursor' does not provide sufficient evidence to suggest that the expense relates to R&D activities as defined under ,No,No,Yes,
FY2024-25,2024-09-16,182c2776-6df4-45a2-96f1-07bee71dc5b4,Jasper A1 Rollingwood,75.43,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,75.43,Yes,No,5,The transaction description 'from Jasper A1 Rollingwood' does not provide any information to suggest that it is related to R&D activities. There is no,No,No,Yes,Need receipt to verify nature of expense and confirm deductibility under s 8-1 ITAA 1997. The expense must be incurred in gaining or producing assessable income or necessarily incurred in carrying on 
FY2024-25,2024-09-16,7c744feb-7f47-42e2-9f8a-28746ae3027a,NITROPACKMIAMIUS,323.31,,Software,60,Section 8-1 ITAA 1997 - general deduction,323.31,Yes,No,50,"The transaction description 'from NITROPACKMIAMIUS' does not provide any evidence of R&D activities. There is no indication of technical uncertainty, ",No,No,Yes,
FY2024-25,2024-09-20,0063c83d-e878-4139-93bf-f54699ca86a3,Zoom,24.63,,Software,95,Section 8-1 ITAA 1997 - general deduction,24.63,Yes,No,90,The transaction description 'from Zoom' does not provide any evidence of R&D activities. It appears to be a standard software subscription for communi,No,No,Yes,"Deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income and is not capital, private or domestic in nature. Receipt required for substantiation."
FY2024-25,2024-08-13,e968dbde-2c8c-42f2-99f9-7fb08a03cd8e,Machined Abu Dhabiare,76.89,,Unknown,50,Section 8-1,76.89,Yes,No,50,The transaction description 'from Machined Abu Dhabiare' does not provide sufficient information to determine if it qualifies as R&D under Division 35,No,No,Yes,
FY2024-25,2024-09-13,781d82a2-85f3-43ed-8f65-8e804e1ec107,Stripe,4.98,Transaction fees for ch_3PyNtBEW7GmamFom1oMjXNb7,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4.98,Yes,No,95,The transaction relates to standard transaction fees charged by Stripe. There is no indication of R&D activity based on the transaction description. T,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2024-25,2024-07-31,31eee326-de3f-4dc9-a52b-40c5894b72c6,Bubble,50.5,,Software,70,Section 8-1 ITAA 1997 - general deduction,50.5,Yes,No,50,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to R&D activities as defined in Div,No,No,Yes,
FY2024-25,2024-09-02,84ce8d74-7c00-4751-826d-f33d819eb4d4,Bubble,48.79,,Software,80,Section 8-1 ITAA 1997 - general deduction,48.79,Yes,No,60,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activitie,No,No,Yes,
FY2024-25,2024-08-06,55863417-666e-45f7-80f8-5eadc427922f,Synthesia,48.52,,Software,80,Section 8-1 ITAA 1997 - general deduction,48.52,Yes,No,60,The transaction description 'from Synthesia' does not provide sufficient evidence to suggest that this purchase relates to core or supporting R&D acti,No,No,Yes,
FY2023-24,2023-07-10,0a8e2398-bd6a-48a4-9928-833eca4b455c,Mailchimp,31.13,,Marketing,95,s 8-1 ITAA 1997 - general deduction,31.13,Yes,No,90,The transaction description 'from Mailchimp' indicates a subscription to a marketing automation platform. This is a standard business expense and does,No,No,Yes,Maintain invoice as proof of expense for substantiation purposes.
FY2023-24,2023-07-20,f028dfdc-9c5a-4258-8e62-2e15552fb43b,,5000,Bank Transfer to Westpac AU 034130305246.,Unclassified,50,s 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer to Westpac AU 034130305246' provides no information to suggest that this payment relates to any R&D activit,No,No,Yes,"Requires documentation to determine the nature of the expense. Without knowing the supplier or the purpose of the bank transfer, it is impossible to assess deductibility or compliance implications."
FY2023-24,2023-07-18,2f82287e-f297-4838-bdeb-ee8a91f69afa,Upwork,144,Visual video for CARSI,Marketing,85,Section 8-1 ITAA 1997 - general deduction,144,Yes,No,95,"The transaction description 'Visual video for CARSI' does not contain any evidence of technical uncertainty, systematic investigation, generation of n",No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
