PRIORITY,Financial Year,Date,Supplier,Amount,Claimable,Deduction Type,Category,Confidence,Transaction ID,Documentation Required,Notes
1,FY2023-24,2023-10-23,Disaster Recovery,10000,10000,Section 8-1 ITAA 1997 - general deduction,IT Services,85,4ed5a2d9-8fa6-414f-94ea-af6bac52fadd,Yes,Ensure invoice and payment records are retained as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or pro
2,FY2023-24,2023-07-20,Mario Conde,5000,5000,Section 8-1 ITAA 1997 - general deduction,Professional Services,60,083375f3-d5b6-46b4-9ba0-5d0f6e4d2c3c,Yes,
3,FY2024-25,2024-07-01,Disaster Recovery,5000,5000,Section 8-1 ITAA 1997 - general deduction,IT Services,85,f9ec427e-271e-44b0-be67-e6efd7f53fb3,Yes,"Ensure adequate documentation (contract, invoice) is retained to support the expense. The expense is deductible under s 8-1 ITAA 1997 as it is incurre"
4,FY2024-25,2024-08-27,Disaster Recovery,2500,2500,Section 8-1 ITAA 1997 - general deduction,IT Services,90,c615d061-ab39-4aba-a928-90de5b3fccab,Yes,Ensure invoice and payment records are retained as evidence of the expense. The expense is deductible under s 8-1 ITAA 1997 as it is incurred in gaini
5,FY2023-24,2023-11-16,,2500,2500,Section 8-1 ITAA 1997 - general deduction,Financial Services,70,ce41cc6a-ae2b-4063-b163-8450db583dff,Yes,Requires documentation to determine the nature of the payment to Westpac and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer t
6,FY2023-24,2023-10-02,,2000,2000,Section 8-1 ITAA 1997 - general deduction,Unknown,60,0a100de1-6f7f-453b-8b89-10523a8f978a,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer from Westpac
7,FY2024-25,2024-08-05,,1500,1500,Section 8-1 ITAA 1997 - general deduction,Financial Services,70,2319f97f-6561-4a37-aafe-b537bed98b5f,Yes,Requires documentation to determine the nature of the bank transfer and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer to Wes
8,FY2023-24,2023-09-29,,1200,1200,s 8-1 ITAA 1997 - general deduction,Financial Services,90,ce2f9306-04b9-4595-a998-8cf235b2a48e,Yes,Requires bank statements to verify the nature of the transaction. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing ass
9,FY2023-24,2023-09-29,,1200,1200,Section 8-1 ITAA 1997 - general deduction,Financial Services,70,c153f253-8b9f-464e-b287-4985bdc69b44,Yes,Requires documentation to determine the nature of the payment to Westpac and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer t
10,FY2024-25,2024-09-10,HARBORSEO.AI DEERPARK IND IRL,1129.68,1129.68,Section 8-1 ITAA 1997 - general deduction,Professional Services,80,f6712300-7559-4983-a495-2a8cd0041636,Yes,Requires invoice and proof of payment to substantiate the expense. s 8-1 ITAA 1997 - general deduction allows a deduction for losses and outgoings to 
11,FY2023-24,2023-10-02,INvideo Innovation,924.9,924.9,Section 8-1 ITAA 1997 - general deduction,Software,80,8fd3df64-77a1-4cef-9bae-6c5a1e778501,Yes,
12,FY2023-24,2023-09-04,Descript,844.02,844.02,Section 8-1 ITAA 1997 - general deduction,Software,80,9dcaeaa9-a27d-4b4d-b8bd-020cbc61aa1e,Yes,
13,FY2023-24,2023-09-18,Biteable,828,828,Section 8-1 ITAA 1997 - general deduction,Marketing,90,06acfc0d-ad9c-4789-8c12-91fd2203d361,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
14,FY2024-25,2024-09-04,Descript,805.21,805.21,Section 8-1 ITAA 1997 - general deduction,Software,80,0016f37f-86e7-4957-af89-cd8481d97e70,Yes,
15,FY2023-24,2023-07-07,Upwork,573.27,573.27,Section 8-1 ITAA 1997 - general deduction,Marketing,95,5be99087-f57d-40c0-bd9a-45f0cbe28daf,Yes,
16,FY2023-24,2023-08-03,ATO,566,566,Section 8-1 ITAA 1997 - general deduction,Taxation,95,c150a491-917a-4c8e-8025-2f62aeae5a59,Yes,
17,FY2023-24,2023-08-22,Upwork,554.45,554.45,Section 8-1 ITAA 1997 - general deduction,Marketing,95,4c33fd9b-77de-423c-937d-9e97a49cec71,Yes,Ensure invoice from Upwork is retained as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing as
18,FY2023-24,2023-09-20,Upwork,546.88,546.88,Section 8-1 ITAA 1997 - general deduction,Marketing,95,b1d44bf3-aa9f-43b3-9eb0-2f4867635349,Yes,Ensure invoice from Upwork is retained as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing as
19,FY2023-24,2023-09-19,Upwork,546.7,546.7,Section 8-1 ITAA 1997 - general deduction,Marketing,90,98861197-708b-4223-8798-6ccc7c7465f5,Yes,Receipt from Upwork required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for losses and outgoings to the extent they are incurred 
