Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2022-23,2023-01-11,46ff33e3-60a0-4788-87be-d77921f641c8,Kmart,34,,General Purchases,70,Section 8-1,34,Yes,No,90,Insufficient information to determine if this purchase relates to R&D activities. The description 'from Kmart' is too vague.,No,No,Yes,Requires receipt from Kmart to verify the nature of the purchase and confirm business use.; Account code 65110 should be reviewed to ensure it accurately reflects the nature of the expense.
FY2022-23,2022-12-30,286fbe06-4f1a-4573-aad7-9dbca4780bd2,Amazon,166.76,Staff uniforms ,Staff Amenities,95,Section 8-1,166.76,Yes,No,95,Purchase of staff uniforms does not constitute R&D activity.,YES - REVIEW,No,Yes,"Ensure uniforms are clearly branded with the company logo to avoid FBT implications. If not, may be considered a fringe benefit.; Maintain receipt as proof of purchase."
FY2022-23,2023-01-10,87e78d24-3995-4e25-91fa-8357e5f03d30,Indeed Job ads,48.44,Refund,Marketing,90,Section 8-1,48.44,Yes,No,95,Refund from Indeed Job ads does not indicate any R&D activity. It is a refund related to advertising costs.,No,No,Yes,Keep the refund documentation for audit purposes.
FY2022-23,2023-05-22,7a58a92c-a0ed-48ae-be44-60ddbef35b9a,"JOB12791 THOMAS HODGKINS - 15-17 VOYAGER DRIVE, KARALEE Job Name: Siemsen - Hodgkins - Karalee - 184297",45.06,Fuel for Hire Truck,Fuel,95,Section 8-1,45.06,Yes,No,90,Fuel purchase for a hire truck does not inherently involve R&D activities. There is no indication of experimental activities or generation of new know,No,No,Yes,Ensure adequate documentation (receipt) is retained to support the deduction.
FY2022-23,2023-05-19,cd54be6b-e478-43b8-9b96-b30af6272755,,10600,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,0,No,No,60,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,Requires detailed invoice or receipt to determine the nature of the expense and its deductibility.; Need to determine if the expense is capital or revenue in nature.
FY2022-23,2023-05-23,9cd7b098-dc81-4400-a08c-a0690bf58f09,National Storage,603,"JOB13361 MARTIN MOORE - 17 CURLEW STREET, TOOWONG Job Name: Crawco SBAR - Moore - Toowong - 1783108",Storage,95,Section 8-1,603,Yes,No,90,The transaction relates to storage rental. There is no indication of R&D activity based on the provided information.,No,No,Yes,Ensure invoice is retained as evidence of expense.; Confirm the storage is used wholly and exclusively for business purposes.
FY2023-24,2023-11-08,308821ef-579b-4c5b-98d8-756d4529cdf7,Litmas,231,Ecoli Tests - AJ - Sarlat - Upper Coomera - HH05830657,Testing & Analysis,90,Section 8-1,231,Yes,No,70,"While the transaction involves 'Ecoli Tests', there is insufficient information to determine if it meets the R&D criteria. It appears to be a standard",No,No,Yes,Ensure invoice and payment records are retained.
FY2022-23,2023-05-17,5a3fc6f5-21b3-40c9-914d-d2a7fb17754a,Taxibox,572,"JOB12733 KIM PHUONG - 5 IRIS PLACE, FITZGIBBON Job Name: FEN - Phuong - Fitzgibbon - 2-9352",Storage,95,Section 8-1,572,Yes,No,90,The transaction relates to storage provided by Taxibox. There is no indication that this activity involves R&D as defined by Division 355 of the ITAA ,No,No,Yes,
FY2022-23,2023-05-15,8eefb4e5-701f-454d-990f-682d19929106,,11000,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,0,No,No,50,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,"Need supplier invoice/receipt to determine the nature of the expense and its deductibility. Without further information, it is impossible to assess FBT or Division 7A implications."
FY2024-25,2024-12-12,2c9384a6-9818-4ea3-937d-f1759bddc232,CostCo,8.49,Book and Kits,Office Supplies,85,Section 8-1,8.49,Yes,No,70,The description 'Book and Kits' is too vague to determine if it relates to R&D activities. There is no indication that the purchase is related to a sy,No,No,Yes,Keep receipt for substantiation purposes.
FY2022-23,2023-01-03,af440ef9-bc74-4f1c-a95d-68aa02fc1cc7,Amazon,917.18,Unifroms,Uniforms,95,Section 8-1,917.18,Yes,No,90,The purchase of uniforms does not typically constitute R&D activity. There is no indication that the uniforms are related to any experimental activiti,No,No,Yes,Ensure the uniforms are genuinely for work purposes and display the company logo to support deductibility.; Maintain receipts from Amazon as evidence of the purchase.
FY2024-25,2025-02-13,6036e2fa-0788-4f4f-94d8-9d8cbcf53c48,Billiard Blitz,150,"Attend to work out a quote
JOB14754
James Allan - 193 Mill Street, Redland Bay
Job Name: FEN - Allan",Professional Services,90,Section 8-1,150,Yes,No,95,Attending to work out a quote does not inherently involve R&D activities. It is a preliminary step to potentially providing services and does not meet,No,No,Yes,Ensure invoice and evidence of service are retained.
FY2022-23,2023-05-23,d7b8d3e9-655a-4543-89dd-104d51a7eac1,Double Shot,58,Paul's visit Port Macquarie,Travel,70,Section 8-1,58,Yes,No,60,The transaction description 'Paul's visit Port Macquarie' does not provide sufficient information to determine if the expense relates to R&D activitie,No,No,Yes,"Requires receipt to verify the nature of the expense (e.g., accommodation, travel, meals).; If the expense relates to entertainment (e.g., meals), further scrutiny is required to determine deductibili"
FY2022-23,2023-05-19,ca2d6416-c625-427a-a4be-d93eb0c78d6e,,19152,Bank Transfer to Westpac Everyday Banking.,Financial Transaction,95,Section 8-1,0,No,No,90,The transaction description 'Bank Transfer to Westpac Everyday Banking' provides insufficient information to assess R&D eligibility. There is no indic,No,No,Yes,"Need to determine the nature of the expense being paid to Westpac. Obtain supporting documentation (invoice, contract) to determine deductibility and GST implications."
FY2022-23,2023-05-22,ff0c157d-40eb-4354-af59-1f7f3ae9bcab,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Toll payments are for routine travel and do not involve R&D activities.,No,No,Yes,Ensure travel is for business purposes.; Receipt from Linkt should be retained as evidence.
FY2022-23,2023-05-19,a54d7f4f-a002-4684-a561-85c3f47fd4f3,Brisbane Airport Parking,170,DRQ Travel Exp travel - Domestic Travel,Travel,95,Section 8-1,170,Yes,No,90,Parking expenses related to domestic travel are not typically considered R&D activities. There is no indication that this expense relates to a systema,No,No,Yes,Ensure travel is genuinely for business purposes. Retain receipt for substantiation.
FY2022-23,2023-05-23,0bfcd884-db18-49bb-9e95-64a84ee5ee89,BP Australia Pty Ltd,61.12,Fuel,Fuel,95,Section 8-1,61.12,Yes,No,90,Fuel purchase is a routine expense and does not meet the criteria for R&D activities under Division 355 of ITAA 1997.,No,No,Yes,"Ensure adequate records (receipts) are maintained to substantiate the fuel expense.; Assess if any private use component exists, which would reduce the deductible amount."
FY2022-23,2023-05-18,48a88ef5-ed32-4678-9bfd-81288ee27c90,Viddyoze,57.5,Graphics etc,Software,85,Section 8-1,57.5,Yes,No,70,The purchase of graphics software is unlikely to meet the R&D criteria. There is no indication of experimental activities or generation of new knowled,No,No,Yes,
FY2022-23,2023-05-14,adf79981-2664-41f3-b366-386a1d38b53b,AirBNB,1265,Accomodation 5 nights in East Melbourne ,Travel,95,Section 8-1,1265,Yes,No,90,Accommodation is not typically considered R&D. There is no indication in the description that this accommodation was related to any R&D activities.,No,No,Yes,"Ensure travel is wholly and exclusively for business purposes.; Maintain adequate documentation (receipts, travel itinerary, purpose of travel)."
FY2022-23,2023-05-22,5e51cb70-50c0-4c9b-9876-c4265c0acd03,Coles,99.03,Phill's Melb visit Coles,Travel,70,Section 8-1,99.03,No,No,90,The transaction relates to a visit to Coles during a trip to Melbourne. There is no indication of R&D activity.,YES - REVIEW,No,Yes,Requires scrutiny to determine the business purpose of the trip and the extent of private use. May be subject to entertainment limitations. FBT may apply if the expense is considered a fringe benefit.
FY2022-23,2023-05-23,97edba7c-88f6-478b-94f9-6b798badc3b1,Frankston City Council,92,Parking fine,Fines and Penalties,95,Non-deductible expense,0,No,No,95,Parking fines are not related to R&D activities and do not meet the criteria for Division 355.,No,No,Yes,"Ensure adequate documentation (parking fine notice) is retained.; Confirm the parking fine was incurred in the course of business activities. Even if incurred during business, it is still generally no"
FY2022-23,2023-05-05,64105f35-4a5a-499f-9380-cf5957eb3911,,27382,Bank Transfer from Westpac Tax Account.,Unknown,50,Section 8-1,0,No,No,60,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Tax Account' provides no details about the nature o,No,No,Yes,"Need supplier invoice/receipt to determine the nature of the expense and its deductibility.; Without further information, it's impossible to assess potential FBT or Division 7A implications."
FY2022-23,2023-02-22,a3b82490-a9a0-4378-a2a2-eaee9ec16fe8,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Tolls are a standard business expense and do not relate to R&D activities.,No,No,Yes,Ensure adequate documentation (receipt) is retained to support the deduction.
FY2022-23,2023-02-21,946b1bb7-fd46-472c-97da-2066d1043027,Black & White Taxis,30.45,Travel to business meeting ,Travel,95,Section 8-1,30.45,Yes,No,90,Travel to a business meeting does not inherently involve R&D activities. There is no indication of experimental activities or generation of new knowle,No,No,Yes,Ensure adequate documentation (receipt) is retained to support the deduction.; Confirm the travel was wholly for business purposes.
FY2022-23,2023-01-30,d61b21ec-c32c-48c0-8366-cb0c8b0cce6d,Abel Rent-a-car,349.5,,Travel,95,Section 8-1,349.5,Yes,No,90,The transaction relates to car rental. There is no information to suggest that this activity is related to R&D activities as defined under Division 35,No,No,Yes,"Ensure adequate documentation (receipt) is retained.; Determine if any private use component exists. If so, the deductible amount should be reduced accordingly."
