PRIORITY,Financial Year,Date,Supplier,Amount,Claimable,Deduction Type,Category,Confidence,Transaction ID,Documentation Required,Notes
1,FY2024-25,2025-02-13,Australian Taxation Office,107526.44,107526.44,Section 8-1,Finance,90,3ecdde7a-3f7c-4b7c-b311-fb0eb23d816f,Yes,Confirm the nature of the underlying tax liability to ensure deductibility. Interest payments to the ATO are generally deductible.
2,FY2024-25,2024-07-23,,50000,50000,Section 8-1,Tax Payment,95,5f63e835-1099-415c-8394-2f78c229be41,Yes,"Confirm the nature of the tax payment (e.g., GST, PAYG withholding, income tax).; Obtain evidence of payment (e.g., bank statement, remittance advice)"
3,FY2023-24,2023-11-01,Australian Taxation Office,48723,48723,Section 8-1,Tax,90,5cf83cc2-0df8-4497-a0e6-cf348a4c44f8,Yes,Ensure the BAS is properly documented and reconciles to the underlying transactions.; Review the components of the BAS to determine if any specific it
4,FY2022-23,2023-05-23,,26500,26500,Section 8-1,Tax Payment,95,bb0077ca-deea-4d52-b1cf-683d2b7b3830,Yes,"Confirm the type of tax being paid (GST, PAYG, Income Tax).; Ensure payment matches tax liability."
5,FY2023-24,2023-12-07,Australian Taxation Office,21507,21507,Section 8-1,Payroll,95,1df52f69-bb34-4fa1-af3e-5bec0fac97a3,Yes,Ensure PAYG withholding amounts are reconciled to payroll records.; Confirm payment was made on time to avoid penalties.
6,FY2024-25,2025-06-10,Phill McGurk,20000,20000,Section 8-1,Professional Services,70,06bf934e-1591-494a-8793-91301d4d99c9,Yes,Requires detailed invoice or documentation to support the nature of the expense.; High Division 7A risk if Phill McGurk is a shareholder or associate 
7,FY2024-25,2025-06-10,Phill McGurk,20000,20000,Section 8-1,Professional Services,70,d983a97d-4a73-4a01-9127-338dc49d8607,Yes,Requires detailed invoice or documentation to support the nature of the expense.; High Division 7A risk if Phill McGurk is a shareholder or associate 
8,FY2023-24,2023-11-17,Australian Taxation Office,19000,19000,Section 8-1,PAYG,95,3838c680-f6e1-4392-84a5-30d576d135b3,Yes,Ensure PAYG remittance advice is retained as documentation.; Verify the accuracy of the PAYG amount.
9,FY2023-24,2023-12-07,Construct Services,17981.7,17981.7,Section 8-1,Cleaning & Remediation,90,4ec84c6e-95f2-433b-aae6-a72aa560bbf1,Yes,"Ensure proper documentation (receipts, invoices) is maintained to support the deduction.; Verify that the expenses are wholly and exclusively for busi"
10,FY2023-24,2023-12-07,Superannuation,16211.24,16211.24,Section 8-1,Employee Expenses,95,3eb28563-81ed-4744-a0a9-89e6a5f40eab,Yes,Ensure superannuation contributions are made in accordance with Superannuation Guarantee legislation.; Verify that the contributions are for eligible 
11,FY2024-25,2025-02-24,Commonwealth Bank Overdraft Account,15000,15000,Section 8-1,Finance Costs,95,ecc1260d-150a-4784-b56d-6a750c68d48d,Yes,Requires bank statements to verify the interest expense.; Ensure the overdraft was used for business purposes.
12,FY2025-26,2025-08-07,The Mould Group,14850,14850,Section 8-1,Remediation,95,9657d231-4145-4320-8dbf-277a1059a39d,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction."
13,FY2025-26,2025-07-23,Allianz Australia Insurance Limited,14478.2,14478.2,Section 8-1,Cleaning & Restoration,90,16b2b2dc-d631-4b6e-97f9-d2af6a1165dd,Yes,"Ensure proper documentation (receipts, invoices) is maintained to support the deduction.; Review the 'SOW - Unit 1 and 2' to ensure no capital works a"
