Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2024-25,2024-07-29,bf537270-653f-4c86-963b-bd0a7574d058,PMC Holdings,20,Loan payment ??,Loan Repayment,95,Not Deductible,0,No,No,5,The transaction description 'Loan payment ??' does not contain any information suggesting R&D activities. There is no indication of technical uncertai,No,YES - REVIEW,Yes,Loan repayments are generally not deductible as they are considered capital in nature. Division 7A ITAA 1936 may apply if the loan is to a shareholder or associate.
FY2024-25,2024-09-09,5df7e727-c0b5-46b0-ad4c-3414ca939781,St George,1068.21,Loan Repayment ,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,95,The transaction description 'Loan Repayment' does not contain any information suggesting R&D activities. There is no indication of technical uncertain,No,No,Yes,Requires loan agreement and repayment schedule to verify the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carr
FY2024-25,2025-05-21,32c1e7fb-d31e-4b68-98f0-12dc6f3040f7,Disaster Recovery QLD Pty Ltd,2091.76,May 2025 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,2091.76,Yes,No,5,"The transaction description 'May 2025 Management Fee' does not contain any evidence of technical uncertainty, systematic investigation, generation of ",No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997. The transaction description 'May 2025 Management Fee' suggests a standa
FY2024-25,2025-01-21,ea7cac55-6b75-4773-8a22-d0c13e2de176,Disaster Recovery QLD Pty Ltd,2091.76,January 2025 Mangement Fee,Management Fees,95,Section 8-1 ITAA 1997 - general deduction,2091.76,Yes,No,5,The transaction description 'January 2025 Management Fee' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997.,No,No,Yes,Requires invoice or contract to verify the nature of the management services provided to ensure it is an allowable deduction under s 8-1 ITAA 1997.
FY2024-25,2025-04-21,e52dafd6-8bfc-48b9-ad8e-55e9991ca1c4,Disaster Recovery QLD Pty Ltd,2091.76,April 2025 Mangement Fee,Management Fees,95,Section 8-1 ITAA 1997 - general deduction,2091.76,Yes,No,90,The transaction description 'April 2025 Management Fee - from Disaster Recovery QLD Pty Ltd - April 2025 Mangement Fee' does not contain any evidence ,No,No,Yes,
FY2024-25,2024-07-21,986a8a8a-0022-40a7-bdfc-cf58b7fbe8f6,Disaster Recovery QLD Pty Ltd,4558.63,July 2024 Mangement Fee,Management Fees,95,Section 8-1 ITAA 1997 - general deduction,4558.63,Yes,No,90,The transaction description 'July 2024 Management Fee - from Disaster Recovery QLD Pty Ltd - July 2024 Mangement Fee' does not contain any information,No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997.
FY2024-25,2024-09-21,5e242d03-c0d5-412d-85e8-199302f987d5,Disaster Recovery QLD Pty Ltd,2091.76,September 2024 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,2091.76,Yes,No,90,"The transaction description 'September 2024 Management Fee' does not contain any evidence of technical uncertainty, systematic investigation, generati",No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997.
FY2023-24,2024-03-01,6e8b6c3e-3949-4417-a563-216e006d804b,Westpac Bank,10,monthly fee,Bank Fees,95,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,"The transaction description 'monthly fee' from Westpac Bank does not contain any evidence of technical uncertainty, systematic investigation, generati",No,No,Yes,Receipt from Westpac Bank required for substantiation.; Deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income or necessarily incurred in carrying on a business f
FY2023-24,2024-05-01,9379490d-aa30-49c0-8a9f-4658b3c651f4,Westpac Bank,10,monthly fee,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,The transaction is a standard monthly bank fee. There is no indication of R&D activity as defined under Division 355 of the ITAA 1997. The description,No,No,Yes,Deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income. Receipt required for substantiation.
FY2023-24,2024-04-29,5f6b91d7-f5f2-4818-a908-88544ae5de3d,Disaster Recovery QLD Pty Ltd,2091.76,Management fee,Professional Services,90,Section 8-1 ITAA 1997 - general deduction,2091.76,Yes,No,95,The transaction is for a 'Management fee' from 'Disaster Recovery QLD Pty Ltd'. This does not provide any evidence of R&D activities as defined under ,No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997. The expense must be incurred in gaining or producing assessable income 
