Category,Transaction Count,Total Amount,Claimable Amount
Professional Services,57,"$292,882.82","$286,607.54"
Finance Costs,101,"$90,194.16","$73,545.16"
Management Fees,7,"$23,509.01","$23,509.01"
Motor Vehicle,3,"$23,143.28","$21,571.64"
Finance,18,"$19,406.98","$17,393.99"
Loan Repayment,16,"$15,949.65","$5,324.05"
Unclassified,1,"$2,000.00","$2,000.00"
Telecommunications,28,"$1,401.60","$1,401.60"
Vehicle,2,"$22,720.54","$1,182.90"
Financial Services,21,"$1,727.39","$1,047.48"
Professional Development,36,$848.85,$848.85
Tax,1,$557.00,$557.00
Communication,11,$553.20,$553.20
Regulatory Fees,1,$276.00,$276.00
Bank Fees,13,$130.00,$130.00
Fuel,6,$100.20,$100.20
Banking Fees,7,$70.00,$70.00
Software,2,$45.08,$45.08
Uncategorized,3,"$20,200.19",$0.00
Financial Transaction,1,"$22,453.11",$0.00
General Expenses,1,"$1,007.71",$0.00
Refund,1,"$1,245.21",$0.00
Unknown,1,"$5,000.00",$0.00
